time,node_id,neighbor_id,distance_m,symmetrical_link
5.5,15,28,234,1
5.5,15,7,208,1
5.5,15,9,216,1
5.5,15,16,216,1
5.5,15,8,243,1
5.5,15,17,217,1
5.5,16,11,220,1
5.5,16,9,216,1
5.5,16,15,222,1
5.5,16,25,243,1
5.5,16,21,161,1
5.5,16,8,243,1
5.5,17,28,234,1
5.5,17,7,208,1
5.5,17,9,216,1
5.5,17,15,222,1
5.5,17,10,238,1
5.5,17,14,201,1
5.5,18,28,234,1
5.5,18,29,218,1
5.5,18,0,219,1
5.5,18,10,238,1
5.5,18,14,201,1
5.5,19,30,224,1
5.5,19,13,184,1
5.5,19,24,208,1
5.5,20,4,143,1
5.5,20,27,224,1
5.5,21,11,220,1
5.5,21,25,243,1
5.5,21,16,216,1
5.5,21,8,243,1
5.5,24,30,224,1
5.5,24,13,184,1
5.5,24,19,208,1
5.5,24,12,184,1
5.5,25,11,220,1
5.5,25,16,216,1
5.5,25,21,161,1
5.5,25,8,243,1
5.5,25,12,184,1
5.5,26,5,222,1
5.5,27,30,224,1
5.5,27,4,143,1
5.5,27,3,222,1
5.5,27,20,149,1
5.5,28,7,208,1
5.5,28,9,216,1
5.5,28,15,222,1
5.5,28,29,218,1
5.5,28,10,238,1
5.5,28,14,201,1
5.5,28,17,217,1
5.5,28,18,238,1
5.5,29,28,234,1
5.5,29,7,208,1
5.5,29,10,238,1
5.5,29,14,201,1
5.5,29,6,164,1
5.5,29,18,238,1
5.5,30,13,184,1
5.5,30,19,208,1
5.5,30,27,224,1
5.5,30,24,208,1
6,0,3,222,1
6,0,18,238,1
6,1,2,206,1
6,1,5,222,1
6,2,5,222,1
6,2,1,222,1
6,3,27,224,1
6,3,0,156,1
6,4,27,224,1
6,4,20,149,1
6,5,2,206,1
6,5,1,222,1
6,5,26,198,1
6,6,7,208,1
6,6,29,218,1
6,6,10,238,1
6,6,14,201,1
6,7,28,234,1
6,7,9,216,1
6,7,17,217,1
6,7,15,222,1
6,7,29,218,1
