window_start,window_end,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,DestinationRecvDataPkts,DestinationRecvDataBytes,throughput_bps,goodput_bps,ETX,PDR,LossRate
89.0,89.5,931,300880,442,300880,1.219,1.45,36.0,20736.0,4814080,331776,25.861,0.039,0.961
89.5,90.0,1031,317880,507,317880,1.252,1.397,33.0,19008.0,5086080,304128,31.242,0.032,0.968
90.0,90.5,781,264972,345,264972,1.415,1.425,9.0,5184.0,4239552,82944,86.778,0.012,0.988
90.5,91.0,469,169422,192,169422,2.3,1.952,0.0,0.0,2710752,0,0.0,0.0,1.0
91.0,91.5,542,168212,280,168212,1.735,1.9,59.0,33984.0,2691392,543744,9.186,0.109,0.891
91.5,92.0,415,97676,291,97676,1.67,1.883,67.0,38592.0,1562816,617472,6.194,0.161,0.839
92.0,92.5,642,210862,306,210862,1.503,1.645,25.0,14400.0,3373792,230400,25.68,0.039,0.961
92.5,93.0,605,212012,256,212012,1.734,1.697,45.0,25920.0,3392192,414720,13.444,0.074,0.926
93.0,93.5,591,174442,331,174442,1.493,1.789,19.0,10944.0,2791072,175104,31.105,0.032,0.968
93.5,94.0,433,118050,261,118050,1.749,1.99,0.0,0.0,1888800,0,0.0,0.0,1.0
94.0,94.5,403,101652,259,101652,1.82,2.06,38.0,21888.0,1626432,350208,10.605,0.094,0.906
94.5,95.0,520,135238,337,135238,1.501,1.862,94.0,54144.0,2163808,866304,5.532,0.181,0.819
95.0,95.5,477,135066,273,135066,1.845,2.06,89.0,51264.0,2161056,820224,5.36,0.187,0.813
95.5,96.0,502,133434,310,133434,1.272,1.164,120.0,69120.0,2134944,1105920,4.183,0.239,0.761
96.0,96.5,521,150142,312,150142,1.502,1.8,107.0,61632.0,2402272,986112,4.869,0.205,0.795
96.5,97.0,554,201536,230,201536,1.91,1.807,76.0,43776.0,3224576,700416,7.289,0.137,0.863
97.0,97.5,485,170464,205,170464,2.128,1.804,88.0,50688.0,2727424,811008,5.511,0.181,0.819
97.5,98.0,466,159566,207,159566,2.076,1.897,125.0,72000.0,2553056,1152000,3.728,0.268,0.732
98.0,98.5,422,112044,249,112044,1.798,1.668,104.0,59904.0,1792704,958464,4.058,0.246,0.754
98.5,99.0,649,180898,346,180898,1.203,1.005,96.0,55296.0,2894368,884736,6.76,0.148,0.852
99.0,99.5,505,134704,297,134704,1.407,1.466,74.0,42624.0,2155264,681984,6.824,0.147,0.853
99.5,100.0,400,99920,251,99920,1.834,1.843,118.0,67968.0,1598720,1087488,3.39,0.295,0.705
100.0,100.5,356,90930,223,90930,2.063,1.911,111.0,63936.0,1454880,1022976,3.207,0.312,0.688
100.5,101.0,378,99798,232,99798,2.056,1.896,88.0,50688.0,1596768,811008,4.295,0.233,0.767
101.0,101.5,386,101512,227,101512,2.004,1.904,89.0,51264.0,1624192,820224,4.337,0.231,0.769
101.5,102.0,451,111360,287,111360,1.516,1.251,141.0,81216.0,1781760,1299456,3.199,0.313,0.687
102.0,102.5,431,112528,267,112528,1.562,1.204,152.0,87552.0,1800448,1400832,2.836,0.353,0.647
102.5,103.0,660,192988,360,192988,0.928,0.728,34.0,19584.0,3087808,313344,19.412,0.052,0.948
103.0,103.5,465,156542,202,156542,1.98,1.687,88.0,50688.0,2504672,811008,5.284,0.189,0.811
103.5,104.0,457,153698,206,153698,2.117,1.804,89.0,51264.0,2459168,820224,5.135,0.195,0.805
104.0,104.5,437,119992,252,119992,1.679,1.697,116.0,66816.0,1919872,1069056,3.767,0.265,0.735
104.5,105.0,392,107176,222,107176,1.869,1.769,44.0,25344.0,1714816,405504,8.909,0.112,0.888
105.0,105.5,790,249282,381,249282,1.184,1.182,122.0,70272.0,3988512,1124352,6.475,0.154,0.846
105.5,106.0,622,228966,237,228966,2.084,1.816,70.0,40320.0,3663456,645120,8.886,0.113,0.887
106.0,106.5,665,242312,260,242312,1.742,1.826,88.0,50688.0,3876992,811008,7.557,0.132,0.868
106.5,107.0,733,231696,358,231696,1.547,1.73,120.0,69120.0,3707136,1105920,6.108,0.164,0.836
107.0,107.5,541,188340,220,188340,2.105,1.924,73.0,42048.0,3013440,672768,7.411,0.135,0.865
107.5,108.0,669,223106,292,223106,1.675,1.79,100.0,57600.0,3569696,921600,6.69,0.149,0.851
108.0,108.5,555,147880,327,147880,1.385,1.123,136.0,78336.0,2366080,1253376,4.081,0.245,0.755
108.5,109.0,390,96888,245,96888,1.918,2.129,89.0,51264.0,1550208,820224,4.382,0.228,0.772
109.0,109.5,415,116804,227,116804,1.912,2.055,73.0,42048.0,1868864,672768,5.685,0.176,0.824
109.5,110.0,352,100562,192,100562,2.156,2.096,45.0,25920.0,1608992,414720,7.822,0.128,0.872
110.0,110.5,444,126824,235,126824,1.719,1.89,0.0,0.0,2029184,0,0.0,0.0,1.0
110.5,111.0,508,141382,286,141382,1.58,1.8,24.0,13824.0,2262112,221184,21.167,0.047,0.953
111.0,111.5,560,151176,322,151176,1.366,1.624,86.0,49536.0,2418816,792576,6.512,0.154,0.846
111.5,112.0,504,133668,284,133668,1.458,1.754,120.0,69120.0,2138688,1105920,4.2,0.238,0.762
112.0,112.5,826,227716,451,227716,0.805,0.815,165.0,95040.0,3643456,1520640,5.006,0.2,0.8
112.5,113.0,467,123316,280,123316,1.532,1.855,145.0,83520.0,1973056,1336320,3.221,0.31,0.69
113.0,113.5,421,112718,242,112718,1.678,1.818,129.0,74304.0,1803488,1188864,3.264,0.306,0.694
